100000
199707
90434
91504
0,0,3,1,52622
0,0,4,1,42326
0,0,12,1,87612
0,0,3,1,40980
1,0,9,1,56352
1,0,8,1,27612
1,0,1,1,4436
2,0,12,1,10435
2,0,7,1,43569
2,0,4,1,4724
3,0,13,1,64020
3,0,2,1,93597
3,0,7,1,68069
4,0,2,1,78808
4,0,6,1,62938
5,0,4,1,83722
5,0,14,1,25020
6,0,11,1,56735
7,0,1,1,15983
7,0,5,1,30140
8,0,3,1,72881
8,0,4,1,71099
8,0,5,1,21159
9,0,7,1,8306
9,0,10,1,37184
9,0,15,1,17282
10,0,12,1,62155
10,0,3,1,24732
10,0,15,1,84480
11,0,15,1,35029
12,0,8,1,83773
12,0,4,1,35940
13,0,8,1,82472
13,0,9,1,90329
13,0,8,1,30211
14,0,8,1,80898
14,0,2,1,31878
14,0,1,1,62860
15,0,8,1,58477
15,0,3,1,85817
16,0,14,1,66691
16,0,10,1,98604
17,0,15,1,80311
18,0,4,1,10967
18,0,11,1,15418
18,0,13,1,5347
19,0,10,1,75714
20,0,7,1,56368
20,0,10,1,36750
20,0,15,1,44422
21,0,1,1,14967
21,0,15,1,33887
21,0,5,1,39328
22,0,13,1,27960
22,0,2,1,38885
22,0,14,1,45086
23,0,1,1,64126
23,0,13,1,44299
24,0,11,1,84740
24,0,4,1,12668
25,0,11,1,4752
25,0,8,1,69462
26,0,13,1,58587
26,0,6,1,93365
26,0,4,1,56175
27,0,7,1,85923
28,0,11,1,2687
29,0,7,1,39135
29,0,4,1,25371
29,0,6,1,62685
30,0,15,1,95855
30,0,4,1,18482
30,0,10,1,99869
31,0,13,1,37610
31,0,11,1,11685
32,0,13,1,77241
32,0,11,1,29738
32,0,12,1,20775
33,0,11,1,44284
33,0,15,1,64644
33,0,5,1,51810
34,0,12,1,83774
35,0,12,1,64986
35,0,14,1,89876
35,0,4,1,93060
36,0,4,1,49126
37,0,2,1,39969
38,0,11,1,85704
38,0,2,1,35555
39,0,5,1,40678
39,0,4,1,92506
40,0,9,1,96844
40,0,5,1,66906
40,0,13,1,32786
41,0,4,1,64948
42,0,11,1,12302
42,0,6,1,13662
43,0,7,1,77034
43,0,12,1,33289
43,0,7,1,34775
44,0,9,1,49646
44,0,5,1,80567
45,0,9,1,666
45,0,13,1,95140
45,0,9,1,27405
46,0,14,1,9188
47,0,7,1,66609
47,0,3,1,37930
47,0,9,1,4790
48,0,4,1,37414
48,0,9,1,21862
49,0,10,1,73863
49,0,14,1,29674
49,0,7,1,38231
50,0,14,1,53140
51,0,10,1,98423
52,0,6,1,24758
52,0,9,1,13397
53,0,12,1,39215
53,0,13,1,71008
54,0,9,1,85688
55,0,6,1,77771
55,0,1,1,13574
55,0,11,1,69008
56,0,4,1,67279
57,0,12,1,84969
57,0,9,1,95224
57,0,12,1,58595
58,0,1,1,49450
59,0,6,1,66525
60,0,5,1,57615
61,0,6,1,61441
62,0,2,1,31068
63,0,2,1,83735
63,0,11,1,51243
63,0,1,1,2165
64,0,11,1,71804
65,0,2,1,43621
65,0,2,1,70336
66,0,9,1,64190
66,0,14,1,43993
66,0,15,1,14937
67,0,10,1,14843
67,0,5,1,70670
68,0,11,1,19293
68,0,14,1,6828
69,0,1,1,8147
70,0,1,1,84545
70,0,9,1,64963
70,0,14,1,26862
71,0,8,1,40368
72,0,2,1,28979
73,0,6,1,65288
73,0,11,1,95545
74,0,4,1,42830
74,0,5,1,20652
74,0,12,1,62141
75,0,3,1,24663
75,0,9,1,98323
76,0,1,1,93462
76,0,10,1,57510
76,0,4,1,54018
77,0,5,1,87529
77,0,7,1,58987
78,0,13,1,73042
78,0,10,1,47895
79,0,7,1,35400
79,0,15,1,61212
79,0,7,1,71696
80,0,11,1,44797
80,0,14,1,38376
80,0,14,1,65373
81,0,2,1,26116
81,0,2,1,50219
81,0,14,1,46333
82,0,7,1,31604
82,0,14,1,43906
82,0,5,1,77494
83,0,15,1,80697
83,0,12,1,27799
84,0,10,1,9437
84,0,2,1,50426
84,0,5,1,36621
85,0,13,1,93068
85,0,5,1,29553
86,0,9,1,47307
86,0,5,1,40502
86,0,3,1,14291
87,0,12,1,16909
88,0,3,1,95441
89,0,11,1,23984
89,0,3,1,77343
89,0,7,1,11913
90,0,9,1,5343
91,0,1,1,42518
91,0,2,1,70615
92,0,15,1,94968
92,0,8,1,40969
93,0,1,1,44443
93,0,11,1,11339
93,0,5,1,60488
94,0,3,1,10602
95,0,11,1,20327
95,0,3,1,80522
96,0,6,1,97561
96,0,12,1,98082
97,0,6,1,90464
97,0,13,1,40291
98,0,10,1,47431
99,0,6,1,61763
99,0,10,1,31480
99,0,12,1,46099
100,0,1,1,60250
101,0,4,1,37378
102,0,14,1,31314
102,0,13,1,75807
102,0,13,1,58872
103,0,13,1,63479
103,0,3,1,49078
103,0,4,1,24962
104,0,10,1,58300
105,0,2,1,63908
